A!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!REFDES!FUNC_PRIM_FILE!COMP_PARENT_PPT!COMP_PARENT_PPT_PART!COMP_PARENT_PART_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!FUNC_GROUP!FUNC_ROOM!FUNC_CDS_FSP_UID!FUNC_NO_SWAP_PIN!FUNC_HARD_LOCATION!FUNC_NO_SWAP_GATE_EXT!FUNC_CDS_FSP_MAPPED_CELL!FUNC_CDS_FSP_FPGA_SYMBOL!FUNC_CDS_FSP_TERM_TYPE!FUNC_CDS_FSP_TERM_NAME!FUNC_ROOM!FUNC_GROUP!FUNC_CDS_FSP_TERM_INDEX!FUNC_CDS_FSP_INSTANCE_ID!FUNC_NO_SWAP_GATE!FUNC_NO_XNET_CONNECTION!FUNC_CDS_FSP_IS_FPGA!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins9290@connector.\header 2.normal\(chips)!HEADER 2_JUMPER2_SW_HEADER!J6!.\chipsView.dat!!!!!!F15!!!!!!!!!!!!!!!!!!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins9405@connector.\header 2.normal\(chips)!HEADER 2_JUMPER2_SW_HEADER!J7!.\chipsView.dat!!!!!!F14!!!!!!!!!!!!!!!!!!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins9571@connector.\header 2.normal\(chips)!HEADER 2_JUMPER2_SW_HEADER!J8!.\chipsView.dat!!!!!!F13!!!!!!!!!!!!!!!!!!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins3290@discrete.\r.normal\(chips)!R_R0805_10K!R1!.\chipsView.dat!!!!!!F12!!!!!!!!!!!!!!!!!!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins3399@discrete.\r.normal\(chips)!R_R0805_120,0805!R2!.\chipsView.dat!!!!!!F11!!!!!!!!!!!!!!!!!!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins5963@discrete.\r.normal\(chips)!R_R0805_100K,0805!R3!.\chipsView.dat!!!!!!F10!!!!!!!!!!!!!!!!!!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins6560@discrete.\r.normal\(chips)!R_R0805_100K,0805!R4!.\chipsView.dat!!!!!!F9!!!!!!!!!!!!!!!!!!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins7783@discrete.\r.normal\(chips)!R_R0805_510R,0805!R5!.\chipsView.dat!!!!!!F8!!!!!!!!!!!!!!!!!!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins7931@discrete.\r.normal\(chips)!R_R0805_510R,0805!R6!.\chipsView.dat!!!!!!F7!!!!!!!!!!!!!!!!!!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins10434@discrete.\r.normal\(chips)!R_R0805_10K,0805!R7!.\chipsView.dat!!!!!!F6!!!!!!!!!!!!!!!!!!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins5922@discrete.\sw slide-spdt.normal\(chips)!SW SLIDE-SPDT_JUMPER3_BOOT0 SW!SW2!.\chipsView.dat!!!!!!F5!!!!!!!!!!!!!!!!!!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins6534@discrete.\sw slide-spdt.normal\(chips)!SW SLIDE-SPDT_JUMPER3_BOOT1 SW!SW3!.\chipsView.dat!!!!!!F4!!!!!!!!!!!!!!!!!!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins10107@discrete.\sw pushbutton.normal\(chips)!SW PUSHBUTTON_JUMPER2_RST_SW!SW4!.\chipsView.dat!!!!!!F3!!!!!!!!!!!!!!!!!!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins1160@library1.\stm32f103c8t6.normal\(chips)!STM32F103C8T6_LQFP48_STM32F103C8T6!U2!.\chipsView.dat!!!!!!F1!!!!!!!!!!!!!!!!!!
S!@cockpit_transmissionshifterunit.schematic1(sch_1):ins2741@library1.\sn65hvd230.normal\(chips)!SN65HVD230_SOIC8_SN65HVD230!U3!.\chipsView.dat!!!!!!F0!!!!!!!!!!!!!!!!!!
